,id,winning_team,blue_wards_placed,blue_wards_killed,blue_champions_killed,blue_elites_killed,blue_plates_destroyed,blue_turrets_destroyed,blue_total_gold,blue_average_level,blue_jungle_monsters_killed,blue_minions_killed,red_wards_placed,red_wards_killed,red_champions_killed,red_elites_killed,red_plates_destroyed,red_turrets_destroyed,red_total_gold,red_average_level,red_jungle_monsters_killed,red_minions_killed
557,NA1_4491460603,200,18,5,4,0,1,0,15228,6.8,56,193,17,5,7,2,7,1,18260,7.0,64,222
558,NA1_4503386045,100,15,1,5,2,6,0,18040,7.2,64,213,16,1,6,0,2,0,16400,7.0,68,189
559,NA1_4503371280,100,16,0,6,0,1,0,17115,6.8,52,206,25,6,4,0,1,0,16740,7.0,52,246
560,NA1_4503370346,200,0,0,0,0,0,0,2500,1.0,0,0,1,0,0,0,0,0,2520,1.0,0,1
561,NA1_4474538298,200,31,0,1,0,0,0,15126,7.0,72,246,9,2,7,1,3,0,18804,7.4,72,275
562,NA1_4474534219,200,13,0,2,0,2,0,15219,6.8,47,224,62,1,10,1,0,0,17039,7.4,52,204
563,NA1_4474458666,200,18,1,3,0,1,0,15510,6.8,60,223,15,5,7,0,2,0,18276,7.2,72,236
564,NA1_4473746447,200,32,0,1,0,0,0,11423,5.0,0,154,34,1,12,1,15,3,22643,7.4,64,258
565,NA1_4473742117,100,15,0,6,0,3,0,16772,7.0,51,216,12,1,2,0,0,0,14178,6.6,39,207
566,NA1_4473477344,200,15,2,7,1,3,0,17557,7.0,58,234,15,3,8,0,0,0,17088,7.0,56,213
567,NA1_4504945555,100,17,3,12,1,1,0,19614,7.2,56,199,13,3,7,0,3,0,17805,7.0,44,231
568,NA1_4503021886,100,11,2,14,1,5,0,18485,7.4,68,185,8,3,5,0,2,0,15135,6.6,52,182
569,NA1_4502978762,200,16,3,8,0,3,0,18684,7.2,72,207,14,3,6,0,1,0,17140,7.2,60,214
570,NA1_4502949435,100,11,1,16,1,5,0,21608,7.6,68,256,12,0,5,0,0,0,15504,6.6,46,174
571,NA1_4502908537,200,11,4,5,1,2,0,17100,6.8,64,216,11,1,8,1,1,0,17502,7.4,64,211
572,NA1_4502537296,200,17,4,2,1,2,0,15470,7.0,52,243,56,2,6,1,1,0,17112,7.2,72,211
573,NA1_4502511728,200,13,0,5,0,3,0,16125,7.2,55,189,11,2,5,1,3,0,16792,7.2,64,210
574,NA1_4502498336,100,13,5,7,1,2,0,17846,7.2,68,232,14,1,3,0,0,0,14496,6.8,52,181
575,NA1_4502476762,200,50,1,7,0,4,0,17291,7.2,56,192,13,2,4,2,2,0,16047,6.8,60,215
576,NA1_4496024861,200,15,7,9,1,0,0,17703,7.2,60,205,18,2,6,1,2,0,16127,6.6,57,204
577,NA1_4496009880,100,11,3,12,0,1,0,19959,7.0,45,197,56,1,5,1,5,0,16050,6.6,46,194
